date,cases
8/21/2015,32
8/22/2015,22
8/23/2015,11
8/24/2015,48
8/25/2015,23
8/26/2015,34
8/27/2015,47
8/28/2015,41
8/29/2015,25
8/30/2015,16
8/31/2015,52
9/1/2015,47
9/2/2015,30
9/3/2015,40
9/4/2015,32
9/5/2015,30
9/6/2015,13
9/7/2015,56
9/8/2015,31
9/9/2015,41
9/10/2015,48
9/11/2015,13
9/12/2015,20
9/13/2015,13
9/14/2015,83
9/15/2015,43
9/16/2015,45
9/17/2015,35
9/18/2015,57
9/19/2015,28
9/20/2015,10
9/21/2015,46
9/22/2015,46
9/23/2015,33
9/24/2015,14
9/25/2015,42
9/26/2015,24
9/27/2015,14
9/28/2015,46
9/29/2015,46
9/30/2015,43
10/1/2015,39
10/2/2015,42
10/3/2015,27
10/4/2015,18
10/5/2015,66
10/6/2015,35
10/7/2015,38
10/8/2015,39
10/9/2015,22
10/10/2015,17
10/11/2015,16
10/12/2015,48
10/13/2015,39
10/14/2015,33
10/15/2015,27
10/16/2015,46
10/17/2015,28
10/18/2015,21
10/19/2015,50
10/20/2015,32
10/21/2015,37
10/22/2015,40
10/23/2015,27
10/24/2015,18
10/25/2015,10
10/26/2015,45
10/27/2015,43
10/28/2015,44
10/29/2015,33
10/30/2015,36
10/31/2015,37
11/1/2015,21
11/2/2015,57
11/3/2015,34
11/4/2015,46
11/5/2015,40
11/6/2015,52
11/7/2015,17
11/8/2015,17
11/9/2015,57
11/10/2015,14
11/11/2015,32
11/12/2015,34
11/13/2015,28
11/14/2015,16
11/15/2015,17
11/16/2015,57
11/17/2015,28
11/18/2015,37
11/19/2015,35
11/20/2015,42
11/21/2015,38
11/22/2015,26
11/23/2015,59
11/24/2015,39
11/25/2015,45
11/26/2015,38
11/27/2015,43
11/28/2015,35
11/29/2015,22
11/30/2015,46
12/1/2015,36
12/2/2015,45
12/3/2015,38
12/4/2015,39
12/5/2015,39
12/6/2015,21
12/7/2015,57
12/8/2015,57
12/9/2015,57
12/10/2015,57
12/11/2015,58
12/12/2015,50
12/13/2015,27
12/14/2015,75
12/15/2015,56
12/16/2015,60
12/17/2015,42
12/18/2015,41
12/19/2015,33
12/20/2015,23
12/21/2015,90
12/22/2015,66
12/23/2015,63
12/24/2015,62
12/25/2015,25
12/26/2015,48
12/27/2015,32
12/28/2015,107
12/29/2015,72
12/30/2015,65
12/31/2015,83
1/1/2016,45
1/2/2016,57
1/3/2016,32
1/4/2016,104
1/5/2016,80
1/6/2016,84
1/7/2016,95
1/8/2016,113
1/9/2016,46
1/10/2016,47
1/11/2016,152
1/12/2016,81
1/13/2016,104
1/14/2016,97
1/15/2016,95
1/16/2016,51
1/17/2016,41
1/18/2016,123
1/19/2016,102
1/20/2016,92
1/21/2016,90
1/22/2016,104
1/23/2016,84
1/24/2016,47
1/25/2016,119
1/26/2016,115
1/27/2016,96
1/28/2016,103
1/29/2016,82
1/30/2016,69
1/31/2016,43
2/1/2016,110
2/2/2016,83
2/3/2016,81
2/4/2016,85
2/5/2016,83
2/6/2016,43
2/7/2016,35
2/8/2016,39
2/9/2016,36
2/10/2016,96
2/11/2016,89
2/12/2016,81
2/13/2016,45
2/14/2016,36
2/15/2016,101
2/16/2016,109
2/17/2016,108
2/18/2016,90
2/19/2016,103
2/20/2016,45
2/21/2016,48
2/22/2016,115
2/23/2016,94
2/24/2016,90
2/25/2016,73
2/26/2016,63
2/27/2016,29
2/28/2016,34
2/29/2016,90
3/1/2016,50
3/2/2016,85
3/3/2016,59
3/4/2016,62
3/5/2016,34
3/6/2016,28
3/7/2016,81
3/8/2016,74
3/9/2016,42
3/10/2016,65
3/11/2016,62
3/12/2016,45
3/13/2016,27
3/14/2016,88
3/15/2016,63
3/16/2016,51
3/17/2016,61
3/18/2016,45
3/19/2016,39
3/20/2016,29
3/21/2016,67
3/22/2016,54
3/23/2016,60
3/24/2016,50
3/25/2016,24
3/26/2016,25
3/27/2016,31
3/28/2016,89
3/29/2016,62
3/30/2016,57
3/31/2016,48
4/1/2016,59
4/2/2016,31
4/3/2016,22
4/4/2016,62
4/5/2016,38
4/6/2016,48
4/7/2016,44
4/8/2016,55
4/9/2016,23
4/10/2016,16
4/11/2016,43
4/12/2016,49
4/13/2016,27
4/14/2016,30
4/15/2016,34
4/16/2016,25
4/17/2016,16
4/18/2016,34
4/19/2016,50
4/20/2016,34
4/21/2016,33
4/22/2016,37
4/23/2016,27
4/24/2016,16
4/25/2016,39
4/26/2016,42
4/27/2016,46
4/28/2016,33
4/29/2016,34
4/30/2016,33
5/1/2016,17
5/2/2016,17
5/3/2016,36
5/4/2016,32
5/5/2016,34
5/6/2016,27
5/7/2016,18
5/8/2016,21
5/9/2016,37
5/10/2016,24
5/11/2016,54
5/12/2016,26
5/13/2016,30
5/14/2016,24
5/15/2016,22
5/16/2016,46
5/17/2016,32
5/18/2016,55
5/19/2016,24
5/20/2016,23
5/21/2016,11
5/22/2016,15
5/23/2016,41
5/24/2016,30
5/25/2016,31
5/26/2016,32
